COMMAND     PID          USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd   1178 danilrybalkin   10u  IPv4 0x207932e26acff084      0t0  TCP *:51560 (LISTEN)
rapportd   1178 danilrybalkin   11u  IPv6 0x9c7270aa1c3a137b      0t0  TCP *:51560 (LISTEN)
identitys  1189 danilrybalkin   10u  IPv4 0xd1652bb74159758a      0t0  UDP *:*
identitys  1189 danilrybalkin   18u  IPv4 0x3267009cf8c9f735      0t0  UDP *:*
identitys  1189 danilrybalkin   23u  IPv4 0xfe026f7755346aff      0t0  UDP *:*
identitys  1189 danilrybalkin   38u  IPv4 0x7a9510a604426294      0t0  UDP *:*
sharingd   1212 danilrybalkin    4u  IPv4 0x1e2c57ab076fefe3      0t0  UDP *:*
ControlCe  1301 danilrybalkin   10u  IPv4 0x5864a724f2b83ad6      0t0  TCP *:7000 (LISTEN)
ControlCe  1301 danilrybalkin   11u  IPv6 0x9928aff477c004d6      0t0  TCP *:7000 (LISTEN)
ControlCe  1301 danilrybalkin   12u  IPv4 0xcca5270372ff7026      0t0  TCP *:5000 (LISTEN)
ControlCe  1301 danilrybalkin   13u  IPv6 0xb5ef74e1a06a99aa      0t0  TCP *:5000 (LISTEN)
Xermius    1599 danilrybalkin   75u  IPv4 0x19e5296de647b3ee      0t0  TCP 198.18.0.1:63997->188.114.97.1:443 (ESTABLISHED)
Tailscale  1974 danilrybalkin    4u  IPv4 0xb511449072550b3b      0t0  TCP 127.0.0.1:50684->127.0.0.1:49618 (ESTABLISHED)
Tunnel    41723 danilrybalkin   10u  IPv4 0x1a793a660d85dbaa      0t0  TCP 127.0.0.1:10808 (LISTEN)
Tunnel    41723 danilrybalkin   11u  IPv4 0x76e87bb61caa502e      0t0  UDP 127.0.0.1:10808
Tunnel    41723 danilrybalkin   12u  IPv4 0x33fe1380851737ce      0t0  TCP 127.0.0.1:10820 (LISTEN)
Tunnel    41723 danilrybalkin   13u  IPv4 0xabc1863c1de51ea2      0t0  UDP 127.0.0.1:10820
Tunnel    41723 danilrybalkin   14u  IPv4 0xc147c86bc27d8c8b      0t0  TCP 127.0.0.1:51559->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   15u  IPv4 0x6b19cd86a1389243      0t0  UDP *:*
Tunnel    41723 danilrybalkin   16u  IPv4 0xb124559ed6523205      0t0  TCP 127.0.0.1:63388->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   17u  IPv4 0x1224b1101fe10b45      0t0  TCP 127.0.0.1:63888->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   18u  IPv4 0xd0fcd43bfe048efc      0t0  TCP 127.0.0.1:59345->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   19u  IPv4 0x4d9b6c9b9ede9fd7      0t0  TCP 127.0.0.1:10808->127.0.0.1:63388 (ESTABLISHED)
Tunnel    41723 danilrybalkin   20u  IPv4 0xc5d73abb7d0084a4      0t0  TCP 127.0.0.1:63476->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   21u  IPv4 0x930c082c85c4ff47      0t0  TCP 127.0.0.1:10808->127.0.0.1:63888 (ESTABLISHED)
Tunnel    41723 danilrybalkin   22u  IPv4 0x33db40f3ad376f90      0t0  TCP 127.0.0.1:10808->127.0.0.1:63476 (ESTABLISHED)
Tunnel    41723 danilrybalkin   23u  IPv4 0x7bbffa34dfa51535      0t0  TCP 127.0.0.1:63350->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   24u  IPv4 0x30610d97d1719c2c      0t0  TCP 127.0.0.1:62423->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   25u  IPv4 0x9f1c6dea2bd113b0      0t0  TCP 127.0.0.1:63614->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   26u  IPv4 0x2df2f96b16fe1ec3      0t0  TCP 127.0.0.1:63302->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   27u  IPv4 0x32d29e0e8365b556      0t0  TCP 127.0.0.1:10808->127.0.0.1:63302 (ESTABLISHED)
Tunnel    41723 danilrybalkin   28u  IPv4 0xb6b169c38d933672      0t0  TCP 127.0.0.1:10808->127.0.0.1:63350 (ESTABLISHED)
Tunnel    41723 danilrybalkin   29u  IPv4  0x765dfb18451b346      0t0  TCP 127.0.0.1:54105->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   30u  IPv4 0x7a13b028b4503c76      0t0  TCP 127.0.0.1:56568->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   31u  IPv4 0x866b528c265d3cad      0t0  TCP 127.0.0.1:62016->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   32u  IPv4 0xf517d530fec90b64      0t0  TCP 127.0.0.1:10808->127.0.0.1:51559 (ESTABLISHED)
Tunnel    41723 danilrybalkin   33u  IPv4 0x7465b1b335813735      0t0  TCP 127.0.0.1:63889->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   34u  IPv4 0x3c2eafbae720d0bc      0t0  TCP 127.0.0.1:63969->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   35u  IPv4 0xfbc40ff42aa4aedf      0t0  TCP 127.0.0.1:10808->127.0.0.1:62016 (ESTABLISHED)
Tunnel    41723 danilrybalkin   36u  IPv4 0xeaff354b8342ccd2      0t0  TCP 127.0.0.1:10808->127.0.0.1:56568 (ESTABLISHED)
