time,,interface,state,bytes_in,bytes_out,
00:39:45.364011,apsd.590,,,7046,34544,
00:39:45.359621,tcp4 198.18.0.1:65358<->17.57.146.138:5223,utun8,Established,7046,34544,
00:39:45.364024,nesessionmanage.597,,,0,0,
00:39:45.359093,udp4 *:*<->*:*,,,,,
00:39:45.359076,udp4 *:*<->*:*,,,,,
00:39:45.359057,udp4 *:*<->*:*,,,,,
00:39:45.358965,udp4 *:*<->*:*,,,,,
00:39:45.364049,airportd.648,,,0,0,
00:39:45.358874,udp4 *:*<->*:*,,,,,
00:39:45.358860,udp4 *:*<->*:*,,,,,
00:39:45.358843,udp4 *:*<->*:*,,,,,
00:39:45.358829,udp4 *:*<->*:*,,,,,
00:39:45.358814,udp4 *:*<->*:*,,,,,
00:39:45.358799,udp4 *:*<->*:*,,,,,
00:39:45.358783,udp4 *:*<->*:*,,,,,
00:39:45.358768,udp4 *:*<->*:*,,,,,
00:39:45.358753,udp4 *:*<->*:*,,,,,
00:39:45.358739,udp4 *:*<->*:*,,,,,
00:39:45.358724,udp6 *.*<->*.*,,,,,
00:39:45.358708,udp4 *:*<->*:*,,,,,
00:39:45.364099,symptomsd.662,,,0,0,
00:39:45.358998,udp4 *:*<->*:*,,,,,
00:39:45.364105,syspolicyd.685,,,6473,7451,
00:39:45.359756,tcp4 198.18.0.1:65364<->17.248.214.67:443,utun8,FinWait1,0,1771,
00:39:45.358625,quic4 198.18.0.1:54104<->17.248.214.67:443,utun8,,6473,5680,
00:39:45.364121,mDNSResponder.690,,,49701149,34147770,
00:39:45.359327,tcp4 198.18.0.1:64818<->1.1.1.1:443,utun8,Established,966021,381461,
00:39:45.358693,udp6 *.5353<->*.*,en0,,23978476,17043766,
00:39:45.358678,udp4 *:5353<->*:*,en0,,24756652,16722543,
00:39:45.364139,rapportd.1178,,,0,0,
00:39:45.360429,tcp6 *.51560<->*.*,,Listen,,,
00:39:45.360400,tcp4 *:51560<->*:*,,Listen,,,
00:39:45.364152,identityservice.1189,,,0,0,
00:39:45.358949,udp4 *:*<->*:*,,,,,
00:39:45.358934,udp4 *:*<->*:*,,,,,
00:39:45.358919,udp4 *:*<->*:*,,,,,
00:39:45.358904,udp4 *:*<->*:*,,,,,
00:39:45.364171,sharingd.1212,,,0,0,
00:39:45.358889,udp4 *:*<->*:*,,,,,
00:39:45.364175,ControlCenter.1301,,,0,0,
00:39:45.359854,tcp6 *.5000<->*.*,,Listen,,,
00:39:45.359831,tcp4 *:5000<->*:*,,Listen,,,
00:39:45.359808,tcp6 *.7000<->*.*,,Listen,,,
00:39:45.359784,tcp4 *:7000<->*:*,,Listen,,,
00:39:45.364202,com.apple.WebKi.1790,,,5222773,1269190,
00:39:45.359543,tcp4 198.18.0.1:65346<->104.18.26.206:443,utun8,Established,5628,7200,
00:39:45.359519,tcp4 198.18.0.1:65308<->13.248.151.210:443,utun8,Established,10052,5106,
00:39:45.359494,tcp4 198.18.0.1:65298<->142.251.143.133:443,utun8,Established,35751,45688,
00:39:45.359470,tcp4 198.18.0.1:65265<->104.18.39.21:443,utun8,Established,8292,25109,
00:39:45.359444,tcp4 198.18.0.1:65236<->216.58.201.202:443,utun8,Established,51040,73509,
00:39:45.359414,tcp4 198.18.0.1:65215<->172.217.19.234:443,utun8,Established,66727,213533,
00:39:45.359387,tcp4 198.18.0.1:65028<->31.133.222.31:443,utun8,Established,35266,189838,
00:39:45.359356,tcp4 198.18.0.1:64823<->5.252.32.69:443,utun8,Established,19538,29676,
00:39:45.358585,quic4 198.18.0.1:56307<->172.253.148.84:443,utun8,,6162,11400,
00:39:45.358566,quic4 198.18.0.1:57335<->172.217.20.174:443,utun8,,35412,96694,
00:39:45.358547,quic4 198.18.0.1:57989<->192.178.25.3:443,utun8,,9448,15719,
00:39:45.358506,quic4 192.168.5.87:64253<->64.233.161.94:443,en0,,392956,8783,
00:39:45.358489,quic4 192.168.5.87:51098<->199.232.173.140:443,en0,,12539,5579,
00:39:45.358471,quic4 192.168.5.87:54084<->199.232.173.140:443,en0,,55443,10470,
00:39:45.358453,quic4 192.168.5.87:60350<->199.232.173.140:443,en0,,53915,13856,
00:39:45.358435,quic4 192.168.1.134:63178<->142.251.1.95:443,en0,,14594,11092,
00:39:45.358417,quic4 192.168.1.134:58567<->108.177.14.94:443,en0,,8925,7005,
00:39:45.358399,quic4 192.168.1.134:52731<->108.177.14.94:443,en0,,8803,6222,
00:39:45.358381,quic4 192.168.1.134:57040<->108.177.14.94:443,en0,,9842,9148,
00:39:45.358363,quic4 192.168.1.134:54253<->108.177.14.94:443,en0,,9845,9202,
00:39:45.358345,quic4 192.168.1.134:61571<->52.85.154.30:443,en0,,87553,9907,
00:39:45.358328,quic4 192.168.1.134:60323<->108.177.14.94:443,en0,,9850,10352,
00:39:45.358310,quic4 192.168.1.134:57431<->172.217.23.227:443,en0,,9531,8736,
00:39:45.358291,quic4 192.168.1.134:52475<->142.251.142.206:443,en0,,38139,13127,
00:39:45.358273,quic4 192.168.1.134:64189<->52.85.154.30:443,en0,,83615,10057,
00:39:45.358255,quic4 192.168.1.134:50944<->173.194.221.132:443,en0,,7496,6612,
00:39:45.358235,quic4 192.168.1.134:60435<->142.251.1.154:443,en0,,23535,10253,
00:39:45.358217,quic4 192.168.1.134:62295<->74.125.131.95:443,en0,,16134,18419,
00:39:45.358199,quic4 192.168.1.134:57746<->142.251.156.119:443,en0,,2044133,123061,
00:39:45.358181,quic4 192.168.1.134:58399<->172.217.23.227:443,en0,,738655,11134,
00:39:45.358163,quic4 192.168.1.134:51227<->151.101.245.140:443,en0,,15937,5720,
00:39:45.358145,quic4 192.168.1.134:62215<->151.101.245.140:443,en0,,54082,10527,
00:39:45.358127,quic4 192.168.1.134:50434<->151.101.245.140:443,en0,,51127,13008,
00:39:45.358104,quic4 192.168.1.134:62553<->142.250.102.196:443,en0,,12592,8532,
00:39:45.358083,quic4 192.168.1.134:64326<->64.233.161.95:443,en0,,15588,11013,
00:39:45.358065,quic4 192.168.5.87:62276<->142.251.209.227:443,en0,,8792,6054,
00:39:45.358047,quic4 192.168.5.87:62428<->64.233.164.138:443,en0,,12067,8884,
00:39:45.358029,quic4 192.168.5.87:58855<->142.250.150.94:443,en0,,8725,10452,
00:39:45.358011,quic4 192.168.5.87:60011<->142.250.180.10:443,en0,,17187,9448,
00:39:45.357993,quic4 192.168.3.251:61351<->64.233.162.94:443,en0,,394513,8491,
00:39:45.357973,quic4 192.168.3.251:60458<->199.232.173.140:443,en0,,27635,6685,
00:39:45.357955,quic4 192.168.3.251:62708<->199.232.173.140:443,en0,,44603,12749,
00:39:45.357937,quic4 192.168.5.87:63655<->142.250.150.94:443,en0,,8972,5580,
00:39:45.357919,quic4 192.168.5.87:51540<->172.217.23.226:443,en0,,8886,7849,
00:39:45.357901,quic4 192.168.5.87:52814<->172.217.17.193:443,en0,,8890,7282,
00:39:45.357881,quic4 192.168.5.87:50428<->64.233.162.132:443,en0,,7506,5877,
00:39:45.357863,quic4 192.168.5.87:55431<->108.177.14.157:443,en0,,15378,7231,
00:39:45.357845,quic4 192.168.5.87:53159<->173.194.222.95:443,en0,,13922,12791,
00:39:45.357826,quic4 192.168.5.87:63127<->108.177.14.95:443,en0,,14085,6908,
00:39:45.357808,quic4 192.168.5.87:50578<->64.233.162.94:443,en0,,2665,4043,
00:39:45.357790,quic4 192.168.5.87:56234<->142.250.102.84:443,en0,,14424,21890,
00:39:45.357772,quic4 192.168.5.87:62908<->142.251.154.119:443,en0,,552196,57989,
00:39:45.357747,quic4 192.168.5.122:50454<->8.47.69.0:443,en0,,4182,3700,
00:39:45.364555,Tailscale.1974,,,81263720,325,
00:39:45.359996,tcp4 127.0.0.1:50684<->127.0.0.1:49618,lo0,Established,81263720,325,
00:39:45.364564,io.tailscale.ip.1982,,,44726,82425068,
00:39:45.362124,tcp4 192.168.1.134:60205<->95.217.2.165:443,en0,Established,4745,919,
00:39:45.361078,tcp4 192.168.1.134:51960<->199.165.136.100:443,en0,Established,17011,1150519,
00:39:45.361048,tcp4 192.168.1.134:51718<->192.200.0.102:443,en0,Established,19701,6190,
00:39:45.360021,tcp4 127.0.0.1:49618<->127.0.0.1:50684,lo0,Established,325,81263720,
00:39:45.359925,tcp6 *.36897<->*.*,,Listen,,,
00:39:45.359901,tcp4 *:36541<->*:*,,Listen,,,
00:39:45.359877,tcp4 127.0.0.1:49618<->*:*,lo0,Listen,,,
00:39:45.359206,udp4 *:41641<->*:*,en0,,2944,3720,
00:39:45.359190,udp6 *.41641<->*.*,,,0,0,
00:39:45.364619,wifivelocityd.59274,,,0,0,
00:39:45.358982,udp4 *:*<->*:*,,,,,
00:39:45.364625,Google Chrome H.74297,,,5561,1979,
00:39:45.362957,tcp4 198.18.0.1:61866<->173.194.221.188:5228,utun8,Established,5561,1979,
00:39:45.364633,figma_agent.91942,,,0,0,
00:39:45.359972,tcp4 127.0.0.1:44960<->*:*,lo0,Listen,,,
00:39:45.359949,tcp4 127.0.0.1:44950<->*:*,lo0,Listen,,,
00:39:45.364646,wifip2pd.27305,,,0,0,
00:39:45.359043,udp4 *:*<->*:*,,,,,
00:39:45.359028,udp4 *:*<->*:*,,,,,
00:39:45.359014,udp4 *:*<->*:*,,,,,
00:39:45.364660,mobileassetd.99166,,,5972,2628,
00:39:45.359566,tcp4 198.18.0.1:65354<->17.253.39.137:443,utun8,TimeWait,5972,2628,
00:39:45.364669,Telegram.97533,,,1709858,376094,
00:39:45.363871,tcp4 198.18.0.1:62361<->149.154.167.50:443,utun8,Established,246,270,
00:39:45.360783,tcp4 198.18.0.1:51605<->149.154.167.41:443,utun8,Established,183569,81313,
00:39:45.360628,tcp4 198.18.0.1:51573<->149.154.167.51:443,utun8,Established,153611,43704,
00:39:45.360589,tcp4 198.18.0.1:51574<->149.154.167.50:443,utun8,Established,1372432,250807,
00:39:45.364694,netbiosd.32976,,,117358,122210,
00:39:45.358663,udp4 *:137<->*:*,utun8,,117358,122210,
00:39:45.358647,udp4 *:138<->*:*,,,0,0,
00:39:45.364704,Tunnel.41723,,,222989263,476998038,
00:39:45.363944,tcp4 192.168.1.134:62372<->144.31.99.109:443,en0,Established,6702,2786,
00:39:45.363921,tcp4 127.0.0.1:10808<->127.0.0.1:62363,lo0,Established,283,258,
00:39:45.363893,tcp4 127.0.0.1:62363<->127.0.0.1:10808,lo0,Established,258,283,
00:39:45.363848,tcp4 127.0.0.1:10808<->127.0.0.1:62357,lo0,Established,4367,6954,
00:39:45.363825,tcp4 127.0.0.1:62357<->127.0.0.1:10808,lo0,Established,6954,4367,
00:39:45.363802,tcp4 127.0.0.1:10808<->127.0.0.1:62355,lo0,Established,2768,8372,
00:39:45.363779,tcp4 127.0.0.1:62355<->127.0.0.1:10808,lo0,Established,8372,2768,
00:39:45.363755,tcp4 127.0.0.1:10808<->127.0.0.1:62354,lo0,Established,3386,8643,
00:39:45.363732,tcp4 127.0.0.1:62354<->127.0.0.1:10808,lo0,Established,8643,3386,
00:39:45.363709,tcp4 127.0.0.1:10808<->127.0.0.1:62353,lo0,Established,1959,9301,
00:39:45.363686,tcp4 127.0.0.1:62353<->127.0.0.1:10808,lo0,Established,9301,1959,
00:39:45.363663,tcp4 127.0.0.1:10808<->127.0.0.1:62350,lo0,Established,32413,7058,
00:39:45.363640,tcp4 127.0.0.1:62350<->127.0.0.1:10808,lo0,Established,7058,32413,
00:39:45.363617,tcp4 127.0.0.1:10808<->127.0.0.1:62345,lo0,Closed,,,
