time,,interface,state,bytes_in,bytes_out,
00:00:00.000001,apsd.590,,,5542,25295,
00:00:00.000002,tcp4 192.168.1.42:51234<->149.154.167.51:443,en0,Established,1200,3400,
00:00:00.000003,tcp6 fe80::7ca2:20ff:fe4d:277%awdl0.52214<->fe80::13:faff:fe55:a839%awdl0.50386,awdl0,,1001065,136242,
00:00:00.000004,tcp4 *:51560<->*:*,,Listen,,,
00:00:00.000005,udp4 192.168.1.42:5353<->239.255.255.250:1900,en0,,0,0,
00:00:00.000006,quic4 192.168.1.42:50454<->8.47.69.0:443,en0,,4182,3700,
00:00:00.000007,com.apple.WebKi.1790,,,5214436,1219695,
00:00:00.000008,tcp4 192.168.1.42:51605<->one.one.one.one:443,utun8,Established,179622,76806,
00:00:00.000009,tcp4 malformed-endpoint-token,,Established,1,2,
00:00:00.000010,udp6 *.5353<->*.*,awdl0,,23964531,17041006,
00:00:00.000011,tcp6 *.51560<->*.*,,Listen,,,
